$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
125,0-30,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
125,0-30,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
125,0-30,1-14@693.2-14@738.8,0.00,0.00,0,0,,,,,,,,
125,0-30,1-14@693.2-10004@26.5,0.00,0.00,0,0,,,,,,,,
125,0-30,1,0.00,0.00,0,0,,,,,,,,
125,0-30,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
125,0-30,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
125,0-30,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
125,0-30,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
125,0-30,2,0.00,0.00,0,0,,,,,,,,
125,0-30,3-4@324.6-4@369.4,0.00,0.00,0,0,,,,,,,,
125,0-30,3-4@324.6-10007@30.9,0.00,0.00,0,0,,,,,,,,
125,0-30,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
125,0-30,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
125,0-30,3,0.00,0.00,0,0,,,,,,,,
125,0-30,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
125,0-30,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
125,0-30,4-15@604.3-14@1063.6,0.00,0.00,0,0,,,,,,,,
125,0-30,4-15@604.3-15@649.2,0.00,0.00,0,0,,,,,,,,
125,0-30,4,0.00,0.00,0,0,,,,,,,,
125,0-30,5-6@768.7-6@814.5,0.00,0.00,0,0,,,,,,,,
125,0-30,5-6@768.7-15@962.8,0.00,0.00,0,0,,,,,,,,
125,0-30,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
125,0-30,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
125,0-30,5,0.00,0.00,0,0,,,,,,,,
125,0-30,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
125,0-30,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
125,0-30,6-6@873.8-6@922.0,0.00,0.00,0,0,,,,,,,,
125,0-30,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
125,0-30,6,0.00,0.00,0,0,,,,,,,,
125,0-30,7-1@503.4-1@549.2,0.00,0.00,0,0,,,,,,,,
125,0-30,7-1@503.4-10013@34.7,0.00,0.00,0,0,,,,,,,,
125,0-30,7-6@978.7-6@1024.4,0.00,0.00,0,0,,,,,,,,
125,0-30,7-6@978.7-10012@24.2,0.00,0.00,0,0,,,,,,,,
125,0-30,7,0.00,0.00,0,0,,,,,,,,
125,0-30,8-5@423.2-5@469.0,0.65,14.36,0,0,,,,,,,,
125,0-30,8-5@423.2-10015@36.2,0.65,14.36,0,0,,,,,,,,
125,0-30,8-6@1083.5-6@1131.5,0.00,0.00,0,0,,,,,,,,
125,0-30,8-6@1083.5-10014@29.1,0.00,0.00,0,0,,,,,,,,
125,0-30,8,0.32,14.36,0,0,,,,,,,,
125,30-60,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
125,30-60,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
125,30-60,1-14@693.2-14@738.8,6.98,25.95,0,0,,,,,,,,
125,30-60,1-14@693.2-10004@26.5,6.98,25.95,0,0,,,,,,,,
125,30-60,1,3.49,25.95,0,0,,,,,,,,
125,30-60,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
125,30-60,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
125,30-60,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
125,30-60,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
125,30-60,2,0.00,0.00,0,0,,,,,,,,
125,30-60,3-4@324.6-4@369.4,2.17,6.00,7,7,6.29,6.29,1.39,0.29,3.586,0.698,0.831,0.051
125,30-60,3-4@324.6-10007@30.9,2.17,6.00,3,3,4.29,4.29,0.00,0.00,0.833,0.162,0.193,0.012
125,30-60,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
125,30-60,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
125,30-60,3,1.09,6.00,10,10,5.69,5.69,0.98,0.20,4.371,0.850,1.013,0.063
125,30-60,4-14@1011.0-14@1063.6,1.44,12.00,0,0,,,,,,,,
125,30-60,4-14@1011.0-10016@29.4,1.44,12.00,0,0,,,,,,,,
125,30-60,4-15@604.3-14@1063.6,1.87,12.19,4,4,3.30,3.30,0.87,0.25,1.782,0.347,0.413,0.025
125,30-60,4-15@604.3-15@649.2,1.87,12.19,4,4,5.81,5.81,0.66,0.25,1.907,0.371,0.442,0.027
125,30-60,4,1.65,12.19,8,8,4.56,4.56,0.76,0.25,3.689,0.718,0.855,0.053
125,30-60,5-6@768.7-6@814.5,3.86,14.13,1,1,0.00,0.00,0.00,0.00,0.225,0.044,0.052,0.003
125,30-60,5-6@768.7-15@962.8,3.86,14.13,0,0,,,,,,,,
125,30-60,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
125,30-60,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
125,30-60,5,1.93,14.13,1,1,0.00,0.00,0.00,0.00,0.225,0.044,0.052,0.003
125,30-60,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
125,30-60,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
125,30-60,6-6@873.8-6@922.0,1.37,5.97,0,0,,,,,,,,
125,30-60,6-6@873.8-10010@30.8,1.37,5.97,0,0,,,,,,,,
125,30-60,6,0.69,5.97,0,0,,,,,,,,
125,30-60,7-1@503.4-1@549.2,6.51,24.59,7,7,10.15,10.15,2.83,0.71,5.923,1.152,1.373,0.085
125,30-60,7-1@503.4-10013@34.7,6.51,24.59,5,5,8.13,8.13,2.16,0.40,3.044,0.592,0.705,0.044
125,30-60,7-6@978.7-6@1024.4,0.00,0.00,0,0,,,,,,,,
125,30-60,7-6@978.7-10012@24.2,0.00,0.00,0,0,,,,,,,,
125,30-60,7,3.26,24.59,12,12,9.31,9.31,2.55,0.58,8.979,1.747,2.081,0.128
125,30-60,8-5@423.2-5@469.0,7.38,19.38,6,6,12.82,12.82,5.26,0.50,4.526,0.881,1.049,0.065
125,30-60,8-5@423.2-10015@36.2,7.38,19.38,7,7,8.47,8.47,2.45,0.29,3.733,0.726,0.865,0.053
125,30-60,8-6@1083.5-6@1131.5,1.86,12.89,0,0,,,,,,,,
125,30-60,8-6@1083.5-10014@29.1,1.86,12.89,0,0,,,,,,,,
125,30-60,8,4.62,19.38,13,13,10.48,10.48,3.75,0.38,8.229,1.601,1.907,0.118
125,60-90,1-5@775.8-5@820.6,1.04,6.63,4,4,0.78,0.78,0.00,0.00,0.951,0.185,0.220,0.014
125,60-90,1-5@775.8-10005@28.0,1.04,6.63,4,4,0.53,0.53,0.00,0.00,0.879,0.171,0.204,0.013
125,60-90,1-14@693.2-14@738.8,50.04,72.64,1,1,41.02,41.02,31.00,1.00,1.401,0.273,0.325,0.020
125,60-90,1-14@693.2-10004@26.5,50.04,72.64,2,2,40.15,40.15,33.10,1.50,3.508,0.683,0.813,0.050
125,60-90,1,25.54,72.64,11,11,11.51,11.51,8.84,0.36,6.873,1.337,1.593,0.098
125,60-90,2-1@837.8-1@893.0,1.10,6.59,7,7,0.53,0.53,0.00,0.00,1.748,0.340,0.405,0.025
125,60-90,2-1@837.8-14@851.1,1.10,6.59,2,2,0.42,0.42,0.00,0.00,0.475,0.092,0.110,0.007
125,60-90,2-14@796.4-14@851.1,2.45,14.16,1,1,13.16,13.16,5.15,1.00,1.051,0.204,0.244,0.015
125,60-90,2-14@796.4-10001@30.8,2.45,14.16,2,2,7.72,7.72,1.68,1.00,1.964,0.382,0.455,0.028
125,60-90,2,1.77,14.16,12,12,2.76,2.76,0.71,0.25,5.160,1.004,1.196,0.074
125,60-90,3-4@324.6-4@369.4,0.58,6.07,6,6,0.17,0.17,0.00,0.00,1.371,0.267,0.318,0.020
125,60-90,3-4@324.6-10007@30.9,0.58,6.07,3,3,1.12,1.12,0.00,0.00,0.690,0.134,0.160,0.010
125,60-90,3-14@898.0-14@946.8,2.93,11.41,1,1,10.63,10.63,1.00,1.00,0.919,0.179,0.213,0.013
125,60-90,3-14@898.0-10006@31.1,2.93,11.41,1,1,15.15,15.15,7.69,2.00,1.813,0.353,0.420,0.026
125,60-90,3,1.76,11.41,11,11,2.74,2.74,0.79,0.27,4.718,0.918,1.094,0.068
125,60-90,4-14@1011.0-14@1063.6,12.41,18.67,2,2,32.42,32.42,24.50,1.00,2.568,0.500,0.595,0.037
125,60-90,4-14@1011.0-10016@29.4,12.41,18.67,3,3,11.07,11.07,5.05,0.67,2.269,0.441,0.526,0.032
125,60-90,4-15@604.3-14@1063.6,1.24,14.43,6,6,0.00,0.00,0.00,0.00,1.347,0.262,0.312,0.019
125,60-90,4-15@604.3-15@649.2,1.24,14.43,5,5,0.00,0.00,0.00,0.00,1.143,0.222,0.265,0.016
125,60-90,4,6.82,18.67,16,16,6.13,6.13,4.01,0.25,7.400,1.440,1.715,0.106
125,60-90,5-6@768.7-6@814.5,38.65,51.31,0,0,,,,,,,,
125,60-90,5-6@768.7-15@962.8,38.65,51.31,2,2,38.08,38.08,30.49,1.00,2.923,0.569,0.677,0.042
125,60-90,5-15@914.3-15@962.8,0.37,5.70,3,3,0.43,0.43,0.00,0.00,0.711,0.138,0.165,0.010
125,60-90,5-15@914.3-10009@29.7,0.37,5.70,2,2,0.22,0.22,0.00,0.00,0.445,0.087,0.103,0.006
125,60-90,5,19.51,51.31,7,7,11.13,11.13,8.71,0.29,4.024,0.783,0.933,0.058
125,60-90,6-4@648.1-4@693.4,0.00,0.00,8,8,1.26,1.26,0.00,0.00,1.939,0.377,0.449,0.028
125,60-90,6-4@648.1-10011@28.0,0.00,0.00,2,2,0.40,0.40,0.00,0.00,0.426,0.083,0.099,0.006
125,60-90,6-6@873.8-6@922.0,6.73,11.95,2,2,26.39,26.39,18.79,1.00,2.417,0.470,0.560,0.035
125,60-90,6-6@873.8-10010@30.8,6.73,11.95,1,1,10.55,10.55,3.00,1.00,0.926,0.180,0.215,0.013
125,60-90,6,3.36,11.95,13,13,5.71,5.71,3.12,0.23,5.830,1.134,1.351,0.083
125,60-90,7-1@503.4-1@549.2,1.87,14.23,12,12,1.56,1.56,0.00,0.00,2.985,0.581,0.692,0.043
125,60-90,7-1@503.4-10013@34.7,1.87,14.23,6,6,2.84,2.84,0.00,0.00,1.590,0.309,0.368,0.023
125,60-90,7-6@978.7-6@1024.4,3.36,12.32,0,0,,,,,,,,
125,60-90,7-6@978.7-10012@24.2,3.36,12.32,1,1,17.89,17.89,9.57,1.00,1.145,0.223,0.265,0.016
125,60-90,7,2.61,14.23,19,19,2.82,2.82,0.50,0.05,5.641,1.098,1.307,0.081
125,60-90,8-5@423.2-5@469.0,0.20,5.98,7,7,0.90,0.90,0.00,0.00,1.690,0.329,0.392,0.024
125,60-90,8-5@423.2-10015@36.2,0.20,5.98,6,6,0.29,0.29,0.00,0.00,1.370,0.267,0.317,0.020
125,60-90,8-6@1083.5-6@1131.5,20.41,34.82,1,1,34.33,34.33,24.00,1.00,1.330,0.259,0.308,0.019
125,60-90,8-6@1083.5-10014@29.1,20.41,34.82,2,2,30.88,30.88,20.50,1.50,3.332,0.648,0.772,0.048
125,60-90,8,10.30,34.82,16,16,6.51,6.51,4.06,0.25,7.612,1.481,1.764,0.109
125,90-120,1-5@775.8-5@820.6,20.25,33.84,0,0,,,,,,,,
125,90-120,1-5@775.8-10005@28.0,20.25,33.84,0,0,,,,,,,,
125,90-120,1-14@693.2-14@738.8,6.96,72.49,16,16,18.32,18.32,10.86,1.13,19.695,3.832,4.565,0.282
125,90-120,1-14@693.2-10004@26.5,6.96,72.49,17,17,11.84,11.84,6.45,0.47,11.729,2.282,2.718,0.168
125,90-120,1,13.60,72.49,33,33,14.98,14.98,8.59,0.79,31.375,6.104,7.271,0.449
