$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
126,0-30,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
126,0-30,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
126,0-30,1-14@693.2-14@738.8,0.00,0.00,0,0,,,,,,,,
126,0-30,1-14@693.2-10004@26.5,0.00,0.00,0,0,,,,,,,,
126,0-30,1,0.00,0.00,0,0,,,,,,,,
126,0-30,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
126,0-30,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
126,0-30,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
126,0-30,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
126,0-30,2,0.00,0.00,0,0,,,,,,,,
126,0-30,3-4@324.6-4@369.4,0.00,0.00,0,0,,,,,,,,
126,0-30,3-4@324.6-10007@30.9,0.00,0.00,0,0,,,,,,,,
126,0-30,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
126,0-30,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
126,0-30,3,0.00,0.00,0,0,,,,,,,,
126,0-30,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
126,0-30,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
126,0-30,4-15@604.3-14@1063.6,0.00,0.00,0,0,,,,,,,,
126,0-30,4-15@604.3-15@649.2,0.00,0.00,0,0,,,,,,,,
126,0-30,4,0.00,0.00,0,0,,,,,,,,
126,0-30,5-6@768.7-6@814.5,0.00,0.00,0,0,,,,,,,,
126,0-30,5-6@768.7-15@962.8,0.00,0.00,0,0,,,,,,,,
126,0-30,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
126,0-30,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
126,0-30,5,0.00,0.00,0,0,,,,,,,,
126,0-30,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
126,0-30,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
126,0-30,6-6@873.8-6@922.0,0.00,0.00,0,0,,,,,,,,
126,0-30,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
126,0-30,6,0.00,0.00,0,0,,,,,,,,
126,0-30,7-1@503.4-1@549.2,0.00,0.00,0,0,,,,,,,,
126,0-30,7-1@503.4-10013@34.7,0.00,0.00,0,0,,,,,,,,
126,0-30,7-6@978.7-6@1024.4,0.00,0.00,0,0,,,,,,,,
126,0-30,7-6@978.7-10012@24.2,0.00,0.00,0,0,,,,,,,,
126,0-30,7,0.00,0.00,0,0,,,,,,,,
126,0-30,8-5@423.2-5@469.0,0.65,13.89,0,0,,,,,,,,
126,0-30,8-5@423.2-10015@36.2,0.65,13.89,0,0,,,,,,,,
126,0-30,8-6@1083.5-6@1131.5,0.00,0.00,0,0,,,,,,,,
126,0-30,8-6@1083.5-10014@29.1,0.00,0.00,0,0,,,,,,,,
126,0-30,8,0.32,13.89,0,0,,,,,,,,
126,30-60,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
126,30-60,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
126,30-60,1-14@693.2-14@738.8,8.25,33.43,0,0,,,,,,,,
126,30-60,1-14@693.2-10004@26.5,8.25,33.43,0,0,,,,,,,,
126,30-60,1,4.12,33.43,0,0,,,,,,,,
126,30-60,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
126,30-60,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
126,30-60,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
126,30-60,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
126,30-60,2,0.00,0.00,0,0,,,,,,,,
126,30-60,3-4@324.6-4@369.4,2.17,6.00,5,5,5.60,5.60,1.94,0.20,2.199,0.428,0.510,0.031
126,30-60,3-4@324.6-10007@30.9,2.17,6.00,4,4,2.54,2.54,0.00,0.00,1.001,0.195,0.232,0.014
126,30-60,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
126,30-60,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
126,30-60,3,1.09,6.00,9,9,4.24,4.24,1.08,0.11,3.191,0.621,0.740,0.046
126,30-60,4-14@1011.0-14@1063.6,1.91,12.63,0,0,,,,,,,,
126,30-60,4-14@1011.0-10016@29.4,1.91,12.63,0,0,,,,,,,,
126,30-60,4-15@604.3-14@1063.6,1.48,12.07,4,4,2.79,2.79,0.91,0.25,1.753,0.341,0.406,0.025
