$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
81,0-30,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
81,0-30,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
81,0-30,1-14@693.2-14@738.8,0.00,0.00,0,0,,,,,,,,
81,0-30,1-14@693.2-10004@26.5,0.00,0.00,0,0,,,,,,,,
81,0-30,1,0.00,0.00,0,0,,,,,,,,
81,0-30,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
81,0-30,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
81,0-30,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
81,0-30,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
81,0-30,2,0.00,0.00,0,0,,,,,,,,
81,0-30,3-4@324.6-4@369.4,0.00,0.00,0,0,,,,,,,,
81,0-30,3-4@324.6-10007@30.9,0.00,0.00,0,0,,,,,,,,
81,0-30,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
81,0-30,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
81,0-30,3,0.00,0.00,0,0,,,,,,,,
81,0-30,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
81,0-30,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
81,0-30,4-15@604.3-14@1063.6,0.00,0.00,0,0,,,,,,,,
81,0-30,4-15@604.3-15@649.2,0.00,0.00,0,0,,,,,,,,
81,0-30,4,0.00,0.00,0,0,,,,,,,,
81,0-30,5-6@768.7-6@814.5,0.00,0.00,0,0,,,,,,,,
81,0-30,5-6@768.7-15@962.8,0.00,0.00,0,0,,,,,,,,
81,0-30,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
81,0-30,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
81,0-30,5,0.00,0.00,0,0,,,,,,,,
81,0-30,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
81,0-30,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
81,0-30,6-6@873.8-6@922.0,0.00,0.00,0,0,,,,,,,,
81,0-30,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
81,0-30,6,0.00,0.00,0,0,,,,,,,,
81,0-30,7-1@503.1-1@548.9,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.225,0.044,0.052,0.003
81,0-30,7-1@503.1-10013@36.1,0.00,0.00,0,0,,,,,,,,
81,0-30,7-6@980.0-6@1025.6,0.00,0.00,0,0,,,,,,,,
81,0-30,7-6@980.0-10012@23.9,0.00,0.00,0,0,,,,,,,,
81,0-30,7-10013@36.2-6@1025.6,0.00,0.00,0,0,,,,,,,,
81,0-30,7,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.225,0.044,0.052,0.003
81,0-30,8-5@423.2-5@469.0,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.227,0.044,0.053,0.003
81,0-30,8-5@423.2-10015@36.2,0.00,0.00,0,0,,,,,,,,
81,0-30,8-6@1083.5-6@1131.5,0.00,0.00,0,0,,,,,,,,
81,0-30,8-6@1083.5-10014@29.1,0.00,0.00,0,0,,,,,,,,
81,0-30,8,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.227,0.044,0.053,0.003
81,30-60,1-5@775.8-5@820.6,0.00,0.00,2,2,0.41,0.41,0.00,0.00,0.455,0.089,0.105,0.007
81,30-60,1-5@775.8-10005@28.0,0.00,0.00,2,2,1.33,1.33,0.00,0.00,0.469,0.091,0.109,0.007
81,30-60,1-14@693.2-14@738.8,0.00,0.00,2,2,3.34,3.34,0.55,0.50,1.160,0.226,0.269,0.017
81,30-60,1-14@693.2-10004@26.5,0.00,0.00,2,2,0.00,0.00,0.00,0.00,0.422,0.082,0.098,0.006
81,30-60,1,0.00,0.00,8,8,1.27,1.27,0.14,0.13,2.579,0.502,0.598,0.037
81,30-60,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
81,30-60,2-1@837.8-14@851.1,0.00,0.00,3,3,0.57,0.57,0.00,0.00,0.715,0.139,0.166,0.010
81,30-60,2-14@796.4-14@851.1,0.00,0.00,2,2,0.43,0.43,0.00,0.00,0.365,0.071,0.085,0.005
81,30-60,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
