$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
64,0-30,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
64,0-30,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
64,0-30,1-14@693.2-14@738.8,0.00,0.00,0,0,,,,,,,,
64,0-30,1-14@693.2-10004@26.5,0.00,0.00,0,0,,,,,,,,
64,0-30,1,0.00,0.00,0,0,,,,,,,,
64,0-30,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
64,0-30,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
64,0-30,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
64,0-30,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
64,0-30,2,0.00,0.00,0,0,,,,,,,,
64,0-30,3-4@324.6-4@369.4,0.00,0.00,0,0,,,,,,,,
64,0-30,3-4@324.6-10007@30.9,0.00,0.00,0,0,,,,,,,,
64,0-30,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
64,0-30,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
64,0-30,3,0.00,0.00,0,0,,,,,,,,
64,0-30,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
64,0-30,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
64,0-30,4-15@604.3-14@1063.6,0.00,0.00,0,0,,,,,,,,
64,0-30,4-15@604.3-15@649.2,0.00,0.00,0,0,,,,,,,,
64,0-30,4,0.00,0.00,0,0,,,,,,,,
64,0-30,5-6@768.7-6@814.5,0.00,0.00,0,0,,,,,,,,
64,0-30,5-6@768.7-15@962.8,0.00,0.00,0,0,,,,,,,,
64,0-30,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
64,0-30,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
64,0-30,5,0.00,0.00,0,0,,,,,,,,
64,0-30,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
64,0-30,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
64,0-30,6-6@873.8-6@922.0,0.00,0.00,0,0,,,,,,,,
64,0-30,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
64,0-30,6,0.00,0.00,0,0,,,,,,,,
64,0-30,7-1@502.9-1@548.6,0.00,0.00,0,0,,,,,,,,
64,0-30,7-1@502.9-10013@36.1,0.00,0.00,0,0,,,,,,,,
64,0-30,7-6@980.0-6@1025.6,0.00,0.00,0,0,,,,,,,,
64,0-30,7-6@980.0-10012@23.6,0.00,0.00,0,0,,,,,,,,
64,0-30,7-10013@36.2-6@1025.6,0.00,0.00,0,0,,,,,,,,
64,0-30,7,0.00,0.00,0,0,,,,,,,,
64,0-30,8-5@423.2-5@469.0,0.52,5.56,0,0,,,,,,,,
64,0-30,8-5@423.2-10015@36.2,0.52,5.56,0,0,,,,,,,,
64,0-30,8-6@1083.5-6@1131.5,0.00,0.00,0,0,,,,,,,,
64,0-30,8-6@1083.5-10014@29.1,0.00,0.00,0,0,,,,,,,,
64,0-30,8,0.26,5.56,0,0,,,,,,,,
64,30-60,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
64,30-60,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
64,30-60,1-14@693.2-14@738.8,0.20,5.91,3,3,0.00,0.00,0.00,0.00,0.685,0.133,0.159,0.010
64,30-60,1-14@693.2-10004@26.5,0.20,5.91,6,6,0.16,0.16,0.00,0.00,1.296,0.252,0.300,0.019
64,30-60,1,0.10,5.91,9,9,0.11,0.11,0.00,0.00,1.980,0.385,0.459,0.028
64,30-60,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
64,30-60,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
64,30-60,2-14@796.4-14@851.1,0.00,0.00,3,3,0.00,0.00,0.00,0.00,0.521,0.101,0.121,0.007
64,30-60,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
64,30-60,2,0.00,0.00,3,3,0.00,0.00,0.00,0.00,0.521,0.101,0.121,0.007
64,30-60,3-4@324.6-4@369.4,18.43,37.95,0,0,,,,,,,,
64,30-60,3-4@324.6-10007@30.9,18.43,37.95,0,0,,,,,,,,
64,30-60,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
64,30-60,3-14@898.0-10006@31.1,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.146,0.028,0.034,0.002
64,30-60,3,9.21,37.95,1,1,0.00,0.00,0.00,0.00,0.146,0.028,0.034,0.002
64,30-60,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
64,30-60,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
64,30-60,4-15@604.3-14@1063.6,8.32,21.70,0,0,,,,,,,,
64,30-60,4-15@604.3-15@649.2,8.32,21.70,0,0,,,,,,,,
64,30-60,4,4.16,21.70,0,0,,,,,,,,
64,30-60,5-6@768.7-6@814.5,0.00,0.00,3,3,0.23,0.23,0.00,0.00,0.699,0.136,0.162,0.010
64,30-60,5-6@768.7-15@962.8,0.00,0.00,6,6,0.09,0.09,0.00,0.00,1.334,0.260,0.309,0.019
64,30-60,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
64,30-60,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
64,30-60,5,0.00,0.00,9,9,0.14,0.14,0.00,0.00,2.033,0.396,0.471,0.029
64,30-60,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
64,30-60,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
64,30-60,6-6@873.8-6@922.0,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.165,0.032,0.038,0.002
64,30-60,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
64,30-60,6,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.165,0.032,0.038,0.002
64,30-60,7-1@502.9-1@548.6,18.36,42.17,0,0,,,,,,,,
64,30-60,7-1@502.9-10013@36.1,18.36,42.17,0,0,,,,,,,,
64,30-60,7-6@980.0-6@1025.6,0.00,0.00,0,0,,,,,,,,
