$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),LOS(ALL),LOSVAL(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
3,0-30,1-5@777.9-5@820.9,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,1-5@777.9-14@745.4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,1-14@698.3-14@745.4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,1-14@698.3-10004@28.4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,1,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,2-1@839.5-1@885.5,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,2-1@839.5-10000@37.4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,2-14@803.9-14@847.3,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,2-14@803.9-10001@24.3,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,2,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,3-4@325.6-4@367.6,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,3-4@325.6-10007@31.1,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,3-14@905.4-14@945.6,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,3-14@905.4-10006@28.4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,3,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,4-14@1018.5-14@1056.3,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,4-14@1018.5-10016@30.7,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,4-15@605.8-15@651.4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,4-15@605.8-10017@29.2,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,5-6@771.4-6@812.3,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,5-6@771.4-10008@26.8,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,5-15@917.1-15@953.7,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,5-15@917.1-10009@26.6,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,5,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,6-4@647.9-4@688.0,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,6-4@647.9-10011@22.3,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,6-6@878.0-6@917.5,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,6-6@878.0-10010@26.4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,6,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,7-1@504.8-1@548.8,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,7-1@504.8-10013@33.6,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,7-6@983.5-6@1021.9,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,7-6@983.5-10012@22.9,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,7,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,8-5@427.2-5@466.3,0.00,0.00,1,1,LOS_A,1,0.00,0.00,0.00,0.00,0.216,0.042,0.050,0.003
3,0-30,8-5@427.2-10015@30.1,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,8-6@1086.4-6@1124.9,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,8-6@1086.4-10014@25.1,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,0-30,8,0.00,0.00,1,1,LOS_A,1,0.00,0.00,0.00,0.00,0.216,0.042,0.050,0.003
3,30-60,1-5@777.9-5@820.9,1.56,12.56,0,0,LOS_A,,,,,,,,,
3,30-60,1-5@777.9-14@745.4,1.56,12.56,1,1,LOS_A,1,8.83,8.83,0.00,0.00,0.342,0.067,0.079,0.005
3,30-60,1-14@698.3-14@745.4,0.00,0.00,2,2,LOS_A,1,0.37,0.37,0.00,0.00,0.475,0.092,0.110,0.007
3,30-60,1-14@698.3-10004@28.4,0.00,0.00,3,3,LOS_A,1,0.00,0.00,0.00,0.00,0.636,0.124,0.147,0.009
3,30-60,1,0.78,12.56,6,6,LOS_A,1,1.59,1.59,0.00,0.00,1.453,0.283,0.337,0.021
3,30-60,2-1@839.5-1@885.5,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,30-60,2-1@839.5-10000@37.4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,30-60,2-14@803.9-14@847.3,0.18,5.40,1,1,LOS_A,1,1.99,1.99,0.00,0.00,0.193,0.038,0.045,0.003
3,30-60,2-14@803.9-10001@24.3,0.18,5.40,0,0,LOS_A,,,,,,,,,
3,30-60,2,0.09,5.40,1,1,LOS_A,1,1.99,1.99,0.00,0.00,0.193,0.038,0.045,0.003
3,30-60,3-4@325.6-4@367.6,0.00,0.00,7,7,LOS_A,1,0.10,0.10,0.00,0.00,1.558,0.303,0.361,0.022
3,30-60,3-4@325.6-10007@31.1,0.00,0.00,7,7,LOS_A,1,0.27,0.27,0.00,0.00,1.516,0.295,0.351,0.022
3,30-60,3-14@905.4-14@945.6,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,30-60,3-14@905.4-10006@28.4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,30-60,3,0.00,0.00,14,14,LOS_A,1,0.18,0.18,0.00,0.00,3.073,0.598,0.712,0.044
3,30-60,4-14@1018.5-14@1056.3,2.36,12.36,2,2,LOS_B,2,10.71,10.71,2.00,1.00,1.898,0.369,0.440,0.027
3,30-60,4-14@1018.5-10016@30.7,2.36,12.36,2,2,LOS_A,1,7.31,7.31,0.00,0.00,0.546,0.106,0.126,0.008
3,30-60,4-15@605.8-15@651.4,1.32,15.13,6,6,LOS_A,1,0.15,0.15,0.00,0.00,1.371,0.267,0.318,0.020
3,30-60,4-15@605.8-10017@29.2,1.32,15.13,4,4,LOS_A,1,0.13,0.13,0.00,0.00,0.856,0.167,0.198,0.012
3,30-60,4,1.84,15.13,14,14,LOS_A,1,2.67,2.67,0.29,0.14,4.773,0.929,1.106,0.068
3,30-60,5-6@771.4-6@812.3,0.00,0.00,2,2,LOS_A,1,1.32,1.32,0.00,0.00,0.475,0.092,0.110,0.007
3,30-60,5-6@771.4-10008@26.8,0.00,0.00,3,3,LOS_A,1,0.19,0.19,0.00,0.00,0.622,0.121,0.144,0.009
3,30-60,5-15@917.1-15@953.7,1.18,13.58,0,0,LOS_A,,,,,,,,,
3,30-60,5-15@917.1-10009@26.6,1.18,13.58,0,0,LOS_A,,,,,,,,,
3,30-60,5,0.59,13.58,5,5,LOS_A,1,0.64,0.64,0.00,0.00,1.097,0.213,0.254,0.016
3,30-60,6-4@647.9-4@688.0,0.52,15.56,0,0,LOS_A,,,,,,,,,
3,30-60,6-4@647.9-10011@22.3,0.52,15.56,1,1,LOS_A,1,0.00,0.00,0.00,0.00,0.194,0.038,0.045,0.003
3,30-60,6-6@878.0-6@917.5,0.00,0.00,1,1,LOS_A,1,4.55,4.55,0.00,0.00,0.227,0.044,0.053,0.003
3,30-60,6-6@878.0-10010@26.4,0.00,0.00,0,0,LOS_A,,,,,,,,,
3,30-60,6,0.26,15.56,2,2,LOS_A,1,2.28,2.28,0.00,0.00,0.421,0.082,0.098,0.006
3,30-60,7-1@504.8-1@548.8,0.00,0.00,3,3,LOS_A,1,0.60,0.60,0.00,0.00,0.708,0.138,0.164,0.010
3,30-60,7-1@504.8-10013@33.6,0.00,0.00,4,4,LOS_A,1,0.21,0.21,0.00,0.00,0.892,0.174,0.207,0.013
3,30-60,7-6@983.5-6@1021.9,0.55,5.51,0,0,LOS_A,,,,,,,,,
3,30-60,7-6@983.5-10012@22.9,0.55,5.51,0,0,LOS_A,,,,,,,,,
3,30-60,7,0.27,5.51,7,7,LOS_A,1,0.38,0.38,0.00,0.00,1.600,0.311,0.371,0.023
3,30-60,8-5@427.2-5@466.3,0.00,0.00,8,8,LOS_A,1,0.54,0.54,0.00,0.00,1.792,0.349,0.415,0.026
3,30-60,8-5@427.2-10015@30.1,0.00,0.00,8,8,LOS_A,1,0.03,0.03,0.00,0.00,1.693,0.329,0.392,0.024
3,30-60,8-6@1086.4-6@1124.9,0.20,5.90,1,1,LOS_A,1,7.35,7.35,0.13,1.00,0.940,0.183,0.218,0.013
3,30-60,8-6@1086.4-10014@25.1,0.20,5.90,0,0,LOS_A,,,,,,,,,
3,30-60,8,0.10,5.90,17,17,LOS_A,1,0.70,0.70,0.01,0.06,4.419,0.860,1.024,0.063
3,60-90,1-5@777.9-5@820.9,6.88,15.95,3,3,LOS_B,2,15.06,15.06,4.90,0.67,2.689,0.523,0.623,0.038
3,60-90,1-5@777.9-14@745.4,6.88,15.95,3,3,LOS_A,1,8.28,8.28,0.03,0.33,1.676,0.326,0.388,0.024
3,60-90,1-14@698.3-14@745.4,0.86,6.97,4,4,LOS_A,1,4.91,4.91,0.29,0.25,1.837,0.357,0.426,0.026
3,60-90,1-14@698.3-10004@28.4,0.86,6.97,8,8,LOS_A,1,2.73,2.73,0.14,0.13,2.639,0.514,0.612,0.038
3,60-90,1,3.87,15.95,18,18,LOS_A,1,6.19,6.19,0.95,0.28,8.767,1.706,2.032,0.125
3,60-90,2-1@839.5-1@885.5,3.23,12.69,1,1,LOS_A,1,1.38,1.38,0.00,0.00,0.255,0.050,0.059,0.004
3,60-90,2-1@839.5-10000@37.4,3.23,12.69,1,1,LOS_A,1,5.52,5.52,0.02,1.00,1.028,0.200,0.238,0.015
3,60-90,2-14@803.9-14@847.3,4.75,13.00,4,4,LOS_B,2,10.72,10.72,5.44,0.50,2.647,0.515,0.613,0.038
3,60-90,2-14@803.9-10001@24.3,4.75,13.00,4,4,LOS_A,1,5.95,5.95,1.18,0.50,2.124,0.413,0.492,0.030
3,60-90,2,3.99,13.00,10,10,LOS_A,1,7.36,7.36,2.65,0.50,5.978,1.163,1.386,0.086
3,60-90,3-4@325.6-4@367.6,3.08,15.40,6,6,LOS_A,1,1.02,1.02,0.00,0.00,1.430,0.278,0.331,0.020
3,60-90,3-4@325.6-10007@31.1,3.08,15.40,3,3,LOS_A,1,7.82,7.82,2.88,0.67,2.280,0.444,0.528,0.033
3,60-90,3-14@905.4-14@945.6,2.86,12.87,2,2,LOS_A,1,5.15,5.15,0.34,0.50,1.167,0.227,0.270,0.017
3,60-90,3-14@905.4-10006@28.4,2.86,12.87,1,1,LOS_A,1,9.92,9.92,4.15,1.00,0.870,0.169,0.202,0.012
3,60-90,3,2.97,15.40,12,12,LOS_A,1,4.15,4.15,1.12,0.33,5.754,1.120,1.334,0.082
3,60-90,4-14@1018.5-14@1056.3,1.55,12.53,4,4,LOS_A,1,2.72,2.72,0.50,0.25,1.508,0.293,0.349,0.022
3,60-90,4-14@1018.5-10016@30.7,1.55,12.53,1,1,LOS_A,1,6.95,6.95,0.01,1.00,0.965,0.188,0.224,0.014
3,60-90,4-15@605.8-15@651.4,8.76,26.49,5,5,LOS_A,1,10.00,10.00,2.71,1.20,5.854,1.139,1.357,0.084
3,60-90,4-15@605.8-10017@29.2,8.76,26.49,6,6,LOS_A,1,9.92,9.92,2.28,0.83,5.494,1.069,1.273,0.079
3,60-90,4,5.16,26.49,16,16,LOS_A,1,7.96,7.96,1.83,0.81,13.792,2.683,3.196,0.197
3,60-90,5-6@771.4-6@812.3,2.51,14.54,5,5,LOS_A,1,6.98,6.98,1.72,0.60,3.530,0.687,0.818,0.050
3,60-90,5-6@771.4-10008@26.8,2.51,14.54,8,8,LOS_A,1,2.47,2.47,0.00,0.00,1.919,0.373,0.445,0.027
3,60-90,5-15@917.1-15@953.7,3.40,12.41,4,4,LOS_A,1,6.87,6.87,0.29,0.25,1.928,0.375,0.447,0.028
3,60-90,5-15@917.1-10009@26.6,3.40,12.41,4,4,LOS_B,2,10.85,10.85,3.17,0.75,3.537,0.688,0.820,0.051
3,60-90,5,2.96,14.54,21,21,LOS_A,1,5.98,5.98,1.07,0.33,10.875,2.116,2.520,0.156
3,60-90,6-4@647.9-4@688.0,2.25,14.91,5,5,LOS_A,1,3.81,3.81,0.00,0.00,1.361,0.265,0.315,0.019
3,60-90,6-4@647.9-10011@22.3,2.25,14.91,1,1,LOS_A,1,0.18,0.18,0.00,0.00,0.207,0.040,0.048,0.003
3,60-90,6-6@878.0-6@917.5,2.32,6.32,3,3,LOS_A,1,7.05,7.05,1.35,0.33,1.455,0.283,0.337,0.021
3,60-90,6-6@878.0-10010@26.4,2.32,6.32,5,5,LOS_A,1,4.85,4.85,2.00,0.40,2.442,0.475,0.566,0.035
3,60-90,6,2.28,14.91,14,14,LOS_A,1,4.61,4.61,1.01,0.21,5.474,1.065,1.269,0.078
3,60-90,7-1@504.8-1@548.8,0.84,6.32,7,7,LOS_A,1,4.16,4.16,0.44,0.14,2.668,0.519,0.618,0.038
3,60-90,7-1@504.8-10013@33.6,0.84,6.32,5,5,LOS_A,1,4.41,4.41,0.62,0.20,2.078,0.404,0.482,0.030
3,60-90,7-6@983.5-6@1021.9,4.02,12.36,2,2,LOS_A,1,7.64,7.64,2.80,0.50,1.201,0.234,0.278,0.017
3,60-90,7-6@983.5-10012@22.9,4.02,12.36,1,1,LOS_C,3,20.51,20.51,10.64,2.00,1.944,0.378,0.451,0.028
3,60-90,7,2.43,12.36,15,15,LOS_A,1,5.80,5.80,1.50,0.33,7.769,1.512,1.801,0.111
3,60-90,8-5@427.2-5@466.3,3.10,13.29,5,5,LOS_A,1,5.22,5.22,1.54,0.60,3.400,0.662,0.788,0.049
3,60-90,8-5@427.2-10015@30.1,3.10,13.29,8,8,LOS_A,1,3.31,3.31,0.99,0.25,3.439,0.669,0.797,0.049
3,60-90,8-6@1086.4-6@1124.9,4.53,16.01,4,4,LOS_A,1,7.56,7.56,3.62,0.50,2.387,0.464,0.553,0.034
3,60-90,8-6@1086.4-10014@25.1,4.53,16.01,3,3,LOS_A,1,5.93,5.93,1.06,0.33,1.359,0.264,0.315,0.019
3,60-90,8,3.81,16.01,20,20,LOS_A,1,5.03,5.03,1.66,0.40,10.650,2.072,2.468,0.152
3,90-120,1-5@777.9-5@820.9,2.96,15.16,6,6,LOS_A,1,7.59,7.59,0.33,0.33,3.307,0.643,0.766,0.047
3,90-120,1-5@777.9-14@745.4,2.96,15.16,4,4,LOS_B,2,14.70,14.70,3.96,1.00,4.440,0.864,1.029,0.064
3,90-120,1-14@698.3-14@745.4,2.99,15.95,6,6,LOS_A,1,4.25,4.25,1.03,0.17,2.411,0.469,0.559,0.034
3,90-120,1-14@698.3-10004@28.4,2.99,15.95,4,4,LOS_A,1,5.99,5.99,1.52,0.25,1.811,0.352,0.420,0.026
3,90-120,1,2.98,15.95,20,20,LOS_A,1,7.69,7.69,1.51,0.40,11.891,2.314,2.756,0.170
3,90-120,2-1@839.5-1@885.5,10.87,20.02,3,3,LOS_B,2,13.22,13.22,5.49,1.00,3.273,0.637,0.759,0.047
3,90-120,2-1@839.5-10000@37.4,10.87,20.02,2,2,LOS_B,2,17.41,17.41,7.82,1.00,2.378,0.463,0.551,0.034
3,90-120,2-14@803.9-14@847.3,0.40,6.21,6,6,LOS_A,1,3.35,3.35,0.41,0.17,1.904,0.370,0.441,0.027
3,90-120,2-14@803.9-10001@24.3,0.40,6.21,3,3,LOS_A,1,3.42,3.42,0.08,0.33,1.231,0.240,0.285,0.018
3,90-120,2,5.63,20.02,14,14,LOS_A,1,7.49,7.49,2.49,0.50,8.709,1.694,2.018,0.125
3,90-120,3-4@325.6-4@367.6,2.37,23.28,6,6,LOS_A,1,5.14,5.14,0.09,0.33,3.139,0.611,0.727,0.045
3,90-120,3-4@325.6-10007@31.1,2.37,23.28,6,6,LOS_A,1,7.67,7.67,1.31,0.33,3.241,0.631,0.751,0.046
3,90-120,3-14@905.4-14@945.6,2.03,12.19,2,2,LOS_A,1,8.99,8.99,1.00,0.50,1.220,0.237,0.283,0.017
3,90-120,3-14@905.4-10006@28.4,2.03,12.19,4,4,LOS_A,1,4.44,4.44,1.34,0.25,1.526,0.297,0.354,0.022
3,90-120,3,2.20,23.28,18,18,LOS_A,1,6.25,6.25,0.87,0.33,9.141,1.778,2.118,0.131
3,90-120,4-14@1018.5-14@1056.3,2.66,14.10,4,4,LOS_A,1,6.81,6.81,0.92,0.50,2.383,0.464,0.552,0.034
3,90-120,4-14@1018.5-10016@30.7,2.66,14.10,2,2,LOS_A,1,4.50,4.50,0.00,0.00,0.475,0.092,0.110,0.007
3,90-120,4-15@605.8-15@651.4,1.85,6.40,8,8,LOS_A,1,8.44,8.44,1.36,0.63,6.110,1.189,1.416,0.087
3,90-120,4-15@605.8-10017@29.2,1.85,6.40,7,7,LOS_A,1,9.06,9.06,1.24,0.57,5.208,1.013,1.207,0.075
3,90-120,4,2.26,14.10,21,21,LOS_A,1,7.96,7.96,1.11,0.52,14.115,2.746,3.271,0.202
3,90-120,5-6@771.4-6@812.3,2.92,14.72,5,5,LOS_A,1,6.54,6.54,0.37,0.40,2.846,0.554,0.660,0.041
3,90-120,5-6@771.4-10008@26.8,2.92,14.72,8,8,LOS_A,1,3.81,3.81,0.66,0.13,2.727,0.531,0.632,0.039
3,90-120,5-15@917.1-15@953.7,1.91,14.44,5,5,LOS_A,1,6.95,6.95,1.02,0.60,3.610,0.702,0.837,0.052
3,90-120,5-15@917.1-10009@26.6,1.91,14.44,5,5,LOS_A,1,7.78,7.78,0.50,0.60,3.568,0.694,0.827,0.051
3,90-120,5,2.42,14.72,23,23,LOS_A,1,5.95,5.95,0.64,0.39,12.708,2.473,2.945,0.182
3,90-120,6-4@647.9-4@688.0,5.22,14.67,2,2,LOS_B,2,10.02,10.02,3.22,0.50,1.409,0.274,0.327,0.020
3,90-120,6-4@647.9-10011@22.3,5.22,14.67,3,3,LOS_A,1,6.12,6.12,0.30,0.67,2.078,0.404,0.482,0.030
3,90-120,6-6@878.0-6@917.5,1.14,6.09,4,4,LOS_A,1,1.11,1.11,0.00,0.00,0.726,0.141,0.168,0.010
3,90-120,6-6@878.0-10010@26.4,1.14,6.09,4,4,LOS_A,1,5.21,5.21,0.82,0.25,1.572,0.306,0.364,0.022
3,90-120,6,3.18,14.67,13,13,LOS_A,1,4.90,4.90,0.82,0.31,5.819,1.132,1.349,0.083
3,90-120,7-1@504.8-1@548.8,2.40,14.89,7,7,LOS_B,2,10.60,10.60,1.70,0.71,6.135,1.194,1.422,0.088
3,90-120,7-1@504.8-10013@33.6,2.40,14.89,7,7,LOS_A,1,8.77,8.77,0.65,0.29,3.711,0.722,0.860,0.053
3,90-120,7-6@983.5-6@1021.9,0.98,6.19,4,4,LOS_A,1,5.66,5.66,0.69,0.50,2.281,0.444,0.529,0.033
3,90-120,7-6@983.5-10012@22.9,0.98,6.19,3,3,LOS_A,1,7.10,7.10,1.25,0.67,1.978,0.385,0.458,0.028
3,90-120,7,1.69,14.89,21,21,LOS_A,1,8.55,8.55,1.09,0.52,14.040,2.732,3.254,0.201
3,90-120,8-5@427.2-5@466.3,7.67,25.00,8,8,LOS_A,1,9.85,9.85,1.57,0.38,4.861,0.946,1.127,0.070
3,90-120,8-5@427.2-10015@30.1,7.67,25.00,7,7,LOS_B,2,13.11,13.11,3.38,0.71,5.990,1.165,1.388,0.086
3,90-120,8-6@1086.4-6@1124.9,2.45,15.16,5,5,LOS_A,1,2.17,2.17,0.00,0.20,1.642,0.319,0.381,0.023
3,90-120,8-6@1086.4-10014@25.1,2.45,15.16,4,4,LOS_A,1,5.38,5.38,0.31,0.50,2.121,0.413,0.492,0.030
3,90-120,8,5.06,25.00,24,24,LOS_A,1,8.46,8.46,1.56,0.46,14.695,2.859,3.406,0.210
3,120-150,1-5@777.9-5@820.9,2.52,13.90,9,9,LOS_A,1,6.33,6.33,1.03,0.67,6.781,1.319,1.572,0.097
3,120-150,1-5@777.9-14@745.4,2.52,13.90,6,6,LOS_A,1,5.35,5.35,0.37,0.17,2.415,0.470,0.560,0.035
3,120-150,1-14@698.3-14@745.4,5.25,15.52,3,3,LOS_B,2,19.53,19.53,5.81,1.67,5.024,0.977,1.164,0.072
3,120-150,1-14@698.3-10004@28.4,5.25,15.52,4,4,LOS_B,2,10.64,10.64,1.74,0.50,2.824,0.549,0.655,0.040
3,120-150,1,3.89,15.52,22,22,LOS_A,1,8.65,8.65,1.63,0.64,16.853,3.279,3.906,0.241
3,120-150,2-1@839.5-1@885.5,7.07,20.63,7,7,LOS_B,2,12.86,12.86,4.29,0.71,6.228,1.212,1.443,0.089
3,120-150,2-1@839.5-10000@37.4,7.07,20.63,6,6,LOS_B,2,19.68,19.68,8.33,1.33,8.560,1.666,1.984,0.122
3,120-150,2-14@803.9-14@847.3,2.03,14.54,2,2,LOS_A,1,1.70,1.70,0.00,0.00,0.366,0.071,0.085,0.005
3,120-150,2-14@803.9-10001@24.3,2.03,14.54,4,4,LOS_A,1,3.38,3.38,0.03,0.25,1.422,0.277,0.330,0.020
3,120-150,2,4.55,20.63,19,19,LOS_B,2,11.85,11.85,4.22,0.74,16.544,3.219,3.834,0.237
3,120-150,3-4@325.6-4@367.6,5.37,18.45,5,5,LOS_A,1,9.55,9.55,2.52,0.40,3.070,0.597,0.711,0.044
3,120-150,3-4@325.6-10007@31.1,5.37,18.45,4,4,LOS_B,2,11.05,11.05,2.38,1.25,4.902,0.954,1.136,0.070
3,120-150,3-14@905.4-14@945.6,0.60,6.23,4,4,LOS_A,1,5.95,5.95,0.02,0.25,1.624,0.316,0.376,0.023
3,120-150,3-14@905.4-10006@28.4,0.60,6.23,6,6,LOS_A,1,4.24,4.24,0.03,0.17,1.897,0.369,0.440,0.027
3,120-150,3,2.99,18.45,19,19,LOS_A,1,7.43,7.43,1.18,0.47,11.460,2.230,2.656,0.164
3,120-150,4-14@1018.5-14@1056.3,1.39,13.00,5,5,LOS_A,1,6.41,6.41,0.30,0.60,3.438,0.669,0.797,0.049
3,120-150,4-14@1018.5-10016@30.7,1.39,13.00,4,4,LOS_A,1,5.03,5.03,0.00,0.00,0.977,0.190,0.227,0.014
3,120-150,4-15@605.8-15@651.4,4.39,11.92,6,6,LOS_A,1,7.09,7.09,1.76,0.17,2.675,0.520,0.620,0.038
3,120-150,4-15@605.8-10017@29.2,4.39,11.92,7,7,LOS_A,1,5.98,5.98,1.57,0.29,3.434,0.668,0.796,0.049
3,120-150,4,2.89,13.00,22,22,LOS_A,1,6.21,6.21,1.05,0.27,10.462,2.035,2.425,0.150
3,120-150,5-6@771.4-6@812.3,3.54,20.05,6,6,LOS_B,2,10.16,10.16,1.53,0.33,3.528,0.686,0.818,0.050
3,120-150,5-6@771.4-10008@26.8,3.54,20.05,6,6,LOS_A,1,8.92,8.92,1.75,1.00,6.099,1.187,1.414,0.087
3,120-150,5-15@917.1-15@953.7,3.21,12.95,4,4,LOS_A,1,8.19,8.19,2.33,0.50,2.579,0.502,0.598,0.037
3,120-150,5-15@917.1-10009@26.6,3.21,12.95,4,4,LOS_A,1,4.72,4.72,0.00,0.00,1.086,0.211,0.252,0.016
3,120-150,5,3.37,20.05,20,20,LOS_A,1,8.31,8.31,1.45,0.50,13.308,2.589,3.084,0.190
3,120-150,6-4@647.9-4@688.0,11.10,27.27,5,5,LOS_B,2,19.78,19.78,8.00,1.40,6.932,1.349,1.607,0.099
3,120-150,6-4@647.9-10011@22.3,11.10,27.27,6,6,LOS_B,2,19.05,19.05,8.08,1.17,7.873,1.532,1.825,0.113
3,120-150,6-6@878.0-6@917.5,0.99,6.44,4,4,LOS_A,1,1.35,1.35,0.00,0.00,0.743,0.145,0.172,0.011
3,120-150,6-6@878.0-10010@26.4,0.99,6.44,6,6,LOS_A,1,1.18,1.18,0.00,0.00,1.013,0.197,0.235,0.014
3,120-150,6,6.04,27.27,21,21,LOS_B,2,10.75,10.75,4.21,0.67,16.483,3.207,3.820,0.236
3,120-150,7-1@504.8-1@548.8,12.10,33.94,4,4,LOS_C,3,20.17,20.17,4.44,2.25,7.721,1.502,1.789,0.110
3,120-150,7-1@504.8-10013@33.6,12.10,33.94,5,5,LOS_B,2,14.11,14.11,2.98,1.00,5.256,1.023,1.218,0.075
3,120-150,7-6@983.5-6@1021.9,0.94,6.29,2,2,LOS_A,1,7.45,7.45,2.00,0.50,1.162,0.226,0.269,0.017
3,120-150,7-6@983.5-10012@22.9,0.94,6.29,7,7,LOS_A,1,2.84,2.84,0.16,0.14,1.965,0.382,0.456,0.028
3,120-150,7,6.52,33.94,18,18,LOS_B,2,10.33,10.33,2.10,0.89,16.268,3.165,3.770,0.233
3,120-150,8-5@427.2-5@466.3,13.23,32.75,5,5,LOS_B,2,15.96,15.96,4.78,1.40,6.647,1.293,1.541,0.095
3,120-150,8-5@427.2-10015@30.1,13.23,32.75,5,5,LOS_B,2,19.28,19.28,6.66,0.80,5.281,1.028,1.224,0.076
3,120-150,8-6@1086.4-6@1124.9,0.20,6.05,3,3,LOS_A,1,7.38,7.38,0.81,0.67,2.057,0.400,0.477,0.029
3,120-150,8-6@1086.4-10014@25.1,0.20,6.05,6,6,LOS_A,1,3.03,3.03,0.00,0.00,1.143,0.222,0.265,0.016
3,120-150,8,6.72,32.75,19,19,LOS_B,2,11.40,11.40,3.14,0.68,15.053,2.929,3.489,0.215
3,150-180,1-5@777.9-5@820.9,5.32,15.11,4,4,LOS_A,1,9.90,9.90,4.20,0.75,3.263,0.635,0.756,0.047
3,150-180,1-5@777.9-14@745.4,5.32,15.11,4,4,LOS_A,1,7.17,7.17,1.04,0.25,1.933,0.376,0.448,0.028
3,150-180,1-14@698.3-14@745.4,4.41,20.64,5,5,LOS_B,2,12.66,12.66,1.50,0.60,4.111,0.800,0.953,0.059
3,150-180,1-14@698.3-10004@28.4,4.41,20.64,6,6,LOS_B,2,11.03,11.03,2.39,0.67,4.806,0.935,1.114,0.069
3,150-180,1,4.86,20.64,19,19,LOS_B,2,10.41,10.41,2.25,0.58,14.135,2.750,3.276,0.202
3,150-180,2-1@839.5-1@885.5,7.13,18.88,5,5,LOS_B,2,11.10,11.10,1.43,0.40,3.270,0.636,0.758,0.047
3,150-180,2-1@839.5-10000@37.4,7.13,18.88,6,6,LOS_B,2,13.48,13.48,3.61,0.67,5.048,0.982,1.170,0.072
3,150-180,2-14@803.9-14@847.3,1.64,13.80,3,3,LOS_A,1,8.40,8.40,1.16,1.00,2.822,0.549,0.654,0.040
3,150-180,2-14@803.9-10001@24.3,1.64,13.80,9,9,LOS_A,1,4.15,4.15,0.71,0.33,3.723,0.724,0.863,0.053
3,150-180,2,4.38,18.88,23,23,LOS_A,1,8.65,8.65,1.68,0.52,14.871,2.893,3.447,0.213
3,150-180,3-4@325.6-4@367.6,11.71,35.59,4,4,LOS_B,2,14.39,14.39,2.74,2.00,6.574,1.279,1.524,0.094
3,150-180,3-4@325.6-10007@31.1,11.71,35.59,4,4,LOS_B,2,12.49,12.49,2.12,1.25,4.724,0.919,1.095,0.068
3,150-180,3-14@905.4-14@945.6,1.23,6.17,2,2,LOS_A,1,7.20,7.20,2.57,0.50,1.250,0.243,0.290,0.018
3,150-180,3-14@905.4-10006@28.4,1.23,6.17,7,7,LOS_A,1,1.46,1.46,0.14,0.14,1.778,0.346,0.412,0.025
3,150-180,3,6.47,35.59,17,17,LOS_A,1,7.77,7.77,1.50,0.88,14.482,2.818,3.356,0.207
