$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
83,0-30,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
83,0-30,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
83,0-30,1-14@693.2-14@738.8,0.00,0.00,0,0,,,,,,,,
83,0-30,1-14@693.2-10004@26.5,0.00,0.00,0,0,,,,,,,,
83,0-30,1,0.00,0.00,0,0,,,,,,,,
83,0-30,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
83,0-30,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
83,0-30,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
83,0-30,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
83,0-30,2,0.00,0.00,0,0,,,,,,,,
83,0-30,3-4@324.6-4@369.4,0.00,0.00,0,0,,,,,,,,
83,0-30,3-4@324.6-10007@30.9,0.00,0.00,0,0,,,,,,,,
83,0-30,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
83,0-30,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
83,0-30,3,0.00,0.00,0,0,,,,,,,,
83,0-30,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
83,0-30,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
83,0-30,4-15@604.3-14@1063.6,0.00,0.00,0,0,,,,,,,,
83,0-30,4-15@604.3-15@649.2,0.00,0.00,0,0,,,,,,,,
83,0-30,4,0.00,0.00,0,0,,,,,,,,
83,0-30,5-6@768.7-6@814.5,0.00,0.00,0,0,,,,,,,,
83,0-30,5-6@768.7-15@962.8,0.00,0.00,0,0,,,,,,,,
83,0-30,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
83,0-30,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
83,0-30,5,0.00,0.00,0,0,,,,,,,,
83,0-30,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
83,0-30,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
83,0-30,6-6@873.8-6@922.0,0.00,0.00,0,0,,,,,,,,
83,0-30,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
83,0-30,6,0.00,0.00,0,0,,,,,,,,
83,0-30,7-1@503.1-1@548.9,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.225,0.044,0.052,0.003
83,0-30,7-1@503.1-10013@36.1,0.00,0.00,0,0,,,,,,,,
83,0-30,7-6@980.0-6@1025.6,0.00,0.00,0,0,,,,,,,,
83,0-30,7-6@980.0-10012@23.9,0.00,0.00,0,0,,,,,,,,
83,0-30,7-10013@36.2-6@1025.6,0.00,0.00,0,0,,,,,,,,
83,0-30,7,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.225,0.044,0.052,0.003
83,0-30,8-5@423.2-5@469.0,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.227,0.044,0.053,0.003
83,0-30,8-5@423.2-10015@36.2,0.00,0.00,0,0,,,,,,,,
83,0-30,8-6@1083.5-6@1131.5,0.00,0.00,0,0,,,,,,,,
83,0-30,8-6@1083.5-10014@29.1,0.00,0.00,0,0,,,,,,,,
83,0-30,8,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.227,0.044,0.053,0.003
83,30-60,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
83,30-60,1-5@775.8-10005@28.0,0.00,0.00,2,2,0.00,0.00,0.00,0.00,0.431,0.084,0.100,0.006
83,30-60,1-14@693.2-14@738.8,0.00,0.00,2,2,0.00,0.00,0.00,0.00,0.467,0.091,0.108,0.007
83,30-60,1-14@693.2-10004@26.5,0.00,0.00,2,2,0.00,0.00,0.00,0.00,0.422,0.082,0.098,0.006
83,30-60,1,0.00,0.00,6,6,0.00,0.00,0.00,0.00,1.318,0.256,0.306,0.019
83,30-60,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
83,30-60,2-1@837.8-14@851.1,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.228,0.044,0.053,0.003
83,30-60,2-14@796.4-14@851.1,0.00,0.00,3,3,0.16,0.16,0.00,0.00,0.536,0.104,0.124,0.008
83,30-60,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
83,30-60,2,0.00,0.00,4,4,0.12,0.12,0.00,0.00,0.765,0.149,0.177,0.011
83,30-60,3-4@324.6-4@369.4,0.00,0.00,11,11,0.50,0.50,0.00,0.00,2.564,0.499,0.594,0.037
83,30-60,3-4@324.6-10007@30.9,0.00,0.00,9,9,0.32,0.32,0.00,0.00,1.951,0.380,0.452,0.028
83,30-60,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
83,30-60,3-14@898.0-10006@31.1,0.00,0.00,1,1,1.42,1.42,0.00,0.00,0.158,0.031,0.037,0.002
83,30-60,3,0.00,0.00,21,21,0.46,0.46,0.00,0.00,4.673,0.909,1.083,0.067
83,30-60,4-14@1011.0-14@1063.6,0.00,0.00,2,2,0.21,0.21,0.00,0.00,0.375,0.073,0.087,0.005
83,30-60,4-14@1011.0-10016@29.4,0.00,0.00,2,2,2.14,2.14,0.00,0.00,0.390,0.076,0.090,0.006
83,30-60,4-15@604.3-14@1063.6,0.00,0.00,2,2,0.34,0.34,0.00,0.00,0.474,0.092,0.110,0.007
83,30-60,4-15@604.3-15@649.2,0.00,0.00,3,3,0.63,0.63,0.00,0.00,0.701,0.136,0.162,0.010
83,30-60,4,0.00,0.00,9,9,0.81,0.81,0.00,0.00,1.937,0.377,0.449,0.028
83,30-60,5-6@768.7-6@814.5,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.226,0.044,0.052,0.003
83,30-60,5-6@768.7-15@962.8,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.216,0.042,0.050,0.003
83,30-60,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
