$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
123,0-30,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
123,0-30,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
123,0-30,1-14@693.2-14@738.8,0.00,0.00,0,0,,,,,,,,
123,0-30,1-14@693.2-10004@26.5,0.00,0.00,0,0,,,,,,,,
123,0-30,1,0.00,0.00,0,0,,,,,,,,
123,0-30,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
123,0-30,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
123,0-30,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
123,0-30,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
123,0-30,2,0.00,0.00,0,0,,,,,,,,
123,0-30,3-4@324.6-4@369.4,0.00,0.00,0,0,,,,,,,,
123,0-30,3-4@324.6-10007@30.9,0.00,0.00,0,0,,,,,,,,
123,0-30,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
123,0-30,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
123,0-30,3,0.00,0.00,0,0,,,,,,,,
123,0-30,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
123,0-30,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
123,0-30,4-15@604.3-14@1063.6,0.00,0.00,0,0,,,,,,,,
123,0-30,4-15@604.3-15@649.2,0.00,0.00,0,0,,,,,,,,
123,0-30,4,0.00,0.00,0,0,,,,,,,,
123,0-30,5-6@768.7-6@814.5,0.00,0.00,0,0,,,,,,,,
123,0-30,5-6@768.7-15@962.8,0.00,0.00,0,0,,,,,,,,
123,0-30,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
123,0-30,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
123,0-30,5,0.00,0.00,0,0,,,,,,,,
123,0-30,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
123,0-30,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
123,0-30,6-6@873.8-6@922.0,0.00,0.00,0,0,,,,,,,,
123,0-30,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
123,0-30,6,0.00,0.00,0,0,,,,,,,,
123,0-30,7-1@503.4-1@549.2,0.00,0.00,0,0,,,,,,,,
123,0-30,7-1@503.4-10013@34.7,0.00,0.00,0,0,,,,,,,,
123,0-30,7-6@978.7-6@1024.4,0.00,0.00,0,0,,,,,,,,
123,0-30,7-6@978.7-10012@24.2,0.00,0.00,0,0,,,,,,,,
123,0-30,7,0.00,0.00,0,0,,,,,,,,
123,0-30,8-5@423.2-5@469.0,0.17,5.12,0,0,,,,,,,,
123,0-30,8-5@423.2-10015@36.2,0.17,5.12,0,0,,,,,,,,
123,0-30,8-6@1083.5-6@1131.5,0.00,0.00,0,0,,,,,,,,
123,0-30,8-6@1083.5-10014@29.1,0.00,0.00,0,0,,,,,,,,
123,0-30,8,0.09,5.12,0,0,,,,,,,,
123,30-60,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
123,30-60,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
123,30-60,1-14@693.2-14@738.8,8.25,33.43,0,0,,,,,,,,
123,30-60,1-14@693.2-10004@26.5,8.25,33.43,0,0,,,,,,,,
123,30-60,1,4.12,33.43,0,0,,,,,,,,
123,30-60,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
123,30-60,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
123,30-60,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
123,30-60,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
123,30-60,2,0.00,0.00,0,0,,,,,,,,
123,30-60,3-4@324.6-4@369.4,1.98,5.47,2,2,8.61,8.61,4.81,0.50,1.382,0.269,0.320,0.020
123,30-60,3-4@324.6-10007@30.9,1.98,5.47,4,4,0.58,0.58,0.00,0.00,0.897,0.175,0.208,0.013
123,30-60,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
123,30-60,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
123,30-60,3,0.99,5.47,6,6,3.25,3.25,1.60,0.17,2.236,0.435,0.518,0.032
123,30-60,4-14@1011.0-14@1063.6,1.07,14.23,0,0,,,,,,,,
123,30-60,4-14@1011.0-10016@29.4,1.07,14.23,0,0,,,,,,,,
123,30-60,4-15@604.3-14@1063.6,0.90,5.60,2,2,4.89,4.89,0.50,0.50,1.248,0.243,0.289,0.018
123,30-60,4-15@604.3-15@649.2,0.90,5.60,3,3,4.94,4.94,0.43,0.33,1.572,0.306,0.364,0.022
123,30-60,4,0.98,14.23,5,5,4.92,4.92,0.46,0.40,2.826,0.550,0.655,0.040
123,30-60,5-6@768.7-6@814.5,4.93,19.82,1,1,0.00,0.00,0.00,0.00,0.225,0.044,0.052,0.003
123,30-60,5-6@768.7-15@962.8,4.93,19.82,0,0,,,,,,,,
123,30-60,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
123,30-60,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
123,30-60,5,2.47,19.82,1,1,0.00,0.00,0.00,0.00,0.225,0.044,0.052,0.003
123,30-60,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
123,30-60,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
123,30-60,6-6@873.8-6@922.0,1.62,6.09,0,0,,,,,,,,
123,30-60,6-6@873.8-10010@30.8,1.62,6.09,0,0,,,,,,,,
123,30-60,6,0.81,6.09,0,0,,,,,,,,
123,30-60,7-1@503.4-1@549.2,3.28,12.63,5,5,7.58,7.58,2.22,0.60,3.713,0.722,0.860,0.053
123,30-60,7-1@503.4-10013@34.7,3.28,12.63,3,3,10.06,10.06,2.52,0.67,2.407,0.468,0.558,0.034
123,30-60,7-6@978.7-6@1024.4,0.00,0.00,0,0,,,,,,,,
123,30-60,7-6@978.7-10012@24.2,0.00,0.00,0,0,,,,,,,,
123,30-60,7,1.64,12.63,8,8,8.51,8.51,2.33,0.63,6.123,1.191,1.419,0.088
123,30-60,8-5@423.2-5@469.0,5.09,12.61,5,5,8.51,8.51,4.40,0.40,3.143,0.612,0.728,0.045
123,30-60,8-5@423.2-10015@36.2,5.09,12.61,4,4,7.55,7.55,2.35,0.25,1.978,0.385,0.459,0.028
